FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,
6055,Napa County,CA,68.9,94931,
48065,Carson County,TX,32.5,1928,
20033,Comanche County,KS,43.1,733,
48375,Potter County,TX,40.5,47534,
37069,Franklin County,NC,46,32050,
19177,Van Buren County,IA,39.4,2775,
42017,Bucks County,PA,66,414851,
40053,Grant County,OK,39.5,1712,
48147,Fannin County,TX,40,14222,
26115,Monroe County,MI,52,78227,
21219,Todd County,KY,38.4,4716,
13219,Oconee County,GA,28.2,11372,
18115,Ohio County,IN,70.4,4135,
27061,Itasca County,MN,52.2,23547,
26005,Allegan County,MI,47.8,56476,
48371,Pecos County,TX,52.4,8294,
39161,Van Wert County,OH,39.5,11166,
36059,Nassau County,NY,72.8,987829,
2290,Yukon-Koyukuk Census Area,AK,62.9,3289,
21019,Boyd County,KY,43.3,20217,
12017,Citrus County,FL,52.7,78890,
49047,Uintah County,UT,36.5,13054,
13053,Chattahoochee County,GA,99.9,38911,
22047,Iberville Parish,LA,50.6,16464,
28163,Yazoo County,MS,44.7,13271,
48393,Roberts County,TX,29.9,255,
18109,Morgan County,IN,50,35225,
31123,Morrill County,NE,32.1,1490,
53057,Skagit County,WA,61.1,78913,
21111,Jefferson County,KY,57.6,441652,
1087,Macon County,AL,42.8,7739,
31023,Butler County,NE,46.7,3743,
20039,Decatur County,KS,37.5,1060,
13063,Clayton County,GA,22,64203,
46081,Lawrence County,SD,50.6,13075,
42011,Berks County,PA,57,240067,
18093,Lawrence County,IN,45.9,20827,
41023,Grant County,OR,42.8,3084,
48255,Karnes County,TX,51.8,8074,
45055,Kershaw County,SC,52.5,34926,
20013,Brown County,KS,54.7,5227,
72043,Coamo Municipio,PR,64.3,24643,
21177,Muhlenberg County,KY,47.1,14432,
30071,Phillips County,MT,40,1582,
18183,Whitley County,IN,44.3,15043,
48093,Comanche County,TX,42,5729,
46053,Gregory County,SD,45.7,1914,
32013,Humboldt County,NV,38.1,6411,
28155,Webster County,MS,44.7,4330,
31163,Sherman County,NE,37.4,1121,
21109,Jackson County,KY,32.9,4381,
